whisky galore!,compton mackenzie,farce
the pirates! in an adventure with scientists,gideon defoe,speculative fiction
the book of ultimate truths,robert rankin,speculative fiction
grendel,john gardner,speculative fiction
this other eden,ben elton,speculative fiction
martin dressler: the tale of an american dreamer,steven millhauser,speculative fiction
the nargun and the stars,patricia wrightson,speculative fiction
nights at the circus,angela carter,speculative fiction
the game of sunken places,matthew tobin anderson,speculative fiction
sunwing,kenneth oppel,speculative fiction
close to the ground,jeff mariotte,speculative fiction
soul trade,thomas e. sniegoski,speculative fiction
redemption,mel odom,speculative fiction
shakedown,don debrandt,speculative fiction
hollywood noir,jeff mariotte,speculative fiction
avatar,john passarella,speculative fiction
the mating season,p. g. wodehouse,speculative fiction
bruja,mel odom,speculative fiction
the summoned,cameron dokey,speculative fiction
nemesis,scott ciencin,speculative fiction
kushiel's scion,jacqueline carey,speculative fiction
kushiel's justice,jacqueline carey,speculative fiction
whortle's hope,robin jarvis,speculative fiction
ogmund's gift,robin jarvis,speculative fiction
wings,m. a. kuzmin,speculative fiction
the black gryphon,larry dixon,speculative fiction
the solitaire mystery,jostein gaarder,speculative fiction
crewel lye: a caustic yarn,piers anthony,speculative fiction
vale of the vole,piers anthony,speculative fiction
heaven cent,piers anthony,speculative fiction
man from mundania,piers anthony,speculative fiction
demons don't dream,piers anthony,speculative fiction
harpy thyme,piers anthony,speculative fiction
roc and a hard place,piers anthony,speculative fiction
the dastard,piers anthony,speculative fiction
swell foop,piers anthony,speculative fiction
cube route,piers anthony,speculative fiction
currant events,piers anthony,speculative fiction
stork naked,piers anthony,speculative fiction
air apparent,piers anthony,speculative fiction
shoeless joe,w. p. kinsella,speculative fiction
shriek: an afterword,jeff vandermeer,speculative fiction
the legend of huma,richard a. knaak,speculative fiction
the white hotel,d. m. thomas,speculative fiction
comet in moominland,tove jansson,speculative fiction
finn family moomintroll,tove jansson,speculative fiction
moominsummer madness,tove jansson,speculative fiction
moominland midwinter,tove jansson,speculative fiction
the last of the sky pirates,chris riddell,speculative fiction
midnight over santaphrax,chris riddell,speculative fiction
vox,paul stewart,speculative fiction
the novice,trudi canavan,speculative fiction
the magicians' guild,trudi canavan,speculative fiction
the high lord,trudi canavan,speculative fiction
the dream life of balso snell,nathanael west,speculative fiction
into a dark realm,raymond e. feist,speculative fiction
condemnation,richard baker,speculative fiction
extinction,lisa smedman,speculative fiction
resurrection,paul s. kemp,speculative fiction
the highwayman,robert anthony salvatore,speculative fiction
the demon apostle,robert anthony salvatore,speculative fiction
mortalis,robert anthony salvatore,speculative fiction
immortalis,robert anthony salvatore,speculative fiction
the witch's daughter,nina bawden,speculative fiction
the fire rose,mercedes lackey,speculative fiction
amber and iron,margaret weis,speculative fiction
the quest for cush,charles r. saunders,speculative fiction
the trail of bohu,charles r. saunders,speculative fiction
the child in time,ian mcewan,speculative fiction
mythago wood,robert holdstock,speculative fiction
lavondyss,robert holdstock,speculative fiction
take a thief,mercedes lackey,speculative fiction
black sun rising,celia s. friedman,speculative fiction
when true night falls,celia s. friedman,speculative fiction
the 13 clocks,james thurber,speculative fiction
amber and ashes,margaret weis,speculative fiction
the unconsoled,kazuo ishiguro,speculative fiction
brightly burning,mercedes lackey,speculative fiction
the knight of the sacred lake,rosalind miles,speculative fiction
the princess of dhagabad,anna kashina,speculative fiction
the torture garden,octave mirbeau,speculative fiction
firethorn,sarah micklem,speculative fiction
alta,mercedes lackey,speculative fiction
dragonology: the complete book of dragons,dugald steer,speculative fiction
winds of fury,mercedes lackey,speculative fiction
winds of fate,mercedes lackey,speculative fiction
teckla,steven brust,speculative fiction
excalibur,sanders anne laubenthal,speculative fiction
yendi,steven brust,speculative fiction
child of the dark prophecy,t. a. barron,speculative fiction
the wandering fire,guy gavriel kay,speculative fiction
the runes of the earth,stephen r. donaldson,speculative fiction
plainsong,kent haruf,speculative fiction
the demon awakens,robert anthony salvatore,speculative fiction
the demon spirit,robert anthony salvatore,speculative fiction
fear,l. ron hubbard,speculative fiction
armageddon's children,terry brooks,speculative fiction
waylander,david gemmell,speculative fiction
waylander ii: in the realm of the wolf,david gemmell,speculative fiction
the hollowing,robert holdstock,speculative fiction
spindle's end,robin mckinley,speculative fiction
the harsh cry of the heron,gillian rubinstein,speculative fiction
heaven's net is wide,gillian rubinstein,speculative fiction
billy,whitley strieber,speculative fiction
stronghold,melanie rawn,speculative fiction
dealing with dragons,patricia wrede,speculative fiction
facing the future,jerry b. jenkins,speculative fiction
the face of fear,dean koontz,speculative fiction
the eyes of darkness,dean koontz,speculative fiction
